user_id,household_size,dietary_preference,primary_shopping_day
1,1,none,Monday
2,2,vegetarian,Sunday
3,1,none,Wednesday
4,1,none,Saturday
5,2,vegetarian,Saturday
6,5,vegetarian,Wednesday
7,2,vegan,Monday
8,1,vegetarian,Wednesday
9,3,gluten-free,Sunday
10,2,gluten-free,Saturday
11,1,vegan,Saturday
12,3,gluten-free,Monday
13,1,vegan,Saturday
14,4,none,Monday
15,5,gluten-free,Sunday
16,1,none,Sunday
17,3,none,Sunday
18,1,vegan,Monday
19,4,gluten-free,Sunday
20,3,gluten-free,Sunday
21,3,none,Sunday
22,5,vegetarian,Sunday
23,4,vegan,Monday
24,5,vegetarian,Monday
25,1,vegetarian,Saturday
26,3,vegan,Monday
27,1,vegetarian,Monday
28,2,vegan,Wednesday
29,4,vegetarian,Monday
30,2,vegetarian,Monday
31,5,vegan,Wednesday
32,3,vegetarian,Sunday
33,5,vegan,Saturday
34,1,none,Sunday
35,2,vegan,Saturday
36,4,vegan,Wednesday
37,5,gluten-free,Saturday
38,1,gluten-free,Monday
39,1,gluten-free,Wednesday
40,2,vegan,Saturday
41,3,vegetarian,Saturday
42,3,vegetarian,Sunday
43,3,vegetarian,Saturday
44,5,gluten-free,Wednesday
45,1,none,Monday
46,3,vegetarian,Saturday
47,2,none,Saturday
48,4,none,Sunday
49,2,vegan,Sunday
50,3,vegan,Sunday
51,5,vegetarian,Monday
52,4,gluten-free,Wednesday
53,5,vegan,Saturday
54,2,vegetarian,Saturday
55,3,none,Sunday
56,5,vegetarian,Saturday
57,1,none,Sunday
58,1,none,Monday
59,1,vegetarian,Monday
60,4,vegetarian,Sunday
61,5,vegan,Sunday
62,4,vegan,Sunday
63,1,none,Wednesday
64,3,vegan,Wednesday
65,4,none,Saturday
66,1,vegan,Monday
67,1,vegetarian,Sunday
68,2,vegan,Sunday
69,4,vegetarian,Monday
70,4,vegetarian,Saturday
71,4,none,Saturday
72,5,none,Saturday
73,2,vegetarian,Wednesday
74,4,vegan,Sunday
75,4,none,Sunday
76,4,none,Wednesday
77,3,vegan,Monday
78,4,vegan,Sunday
79,2,gluten-free,Sunday
80,1,none,Monday
81,1,none,Wednesday
82,5,vegetarian,Saturday
83,5,none,Sunday
84,1,none,Sunday
85,4,none,Sunday
86,5,none,Saturday
87,4,gluten-free,Monday
88,2,gluten-free,Sunday
89,3,vegan,Sunday
90,3,vegan,Monday
91,1,none,Wednesday
92,5,none,Saturday
93,5,vegetarian,Monday
94,2,gluten-free,Saturday
95,2,gluten-free,Monday
96,2,vegan,Monday
97,5,none,Monday
98,1,vegetarian,Monday
99,1,none,Sunday
100,3,gluten-free,Sunday
